annual_return,annual_volatility,weight_005930.KS,weight_AAPL,weight_NVDA
0.219696,0.293147,0.0000,1.0000,0.0000
0.220036,0.290564,0.0100,0.9900,0.0000
0.220376,0.288015,0.0200,0.9800,0.0000
0.220716,0.285502,0.0300,0.9700,0.0000
0.221055,0.283024,0.0400,0.9600,0.0000
0.221395,0.280583,0.0500,0.9500,0.0000
0.221735,0.278180,0.0600,0.9400,0.0000
0.222075,0.275816,0.0700,0.9300,0.0000
0.222414,0.273492,0.0800,0.9200,0.0000
0.222754,0.271209,0.0900,0.9100,0.0000
0.223094,0.268968,0.1000,0.9000,0.0000
0.223434,0.266770,0.1100,0.8900,0.0000
0.223773,0.264617,0.1200,0.8800,0.0000
0.224113,0.262508,0.1300,0.8700,0.0000
0.224453,0.260446,0.1400,0.8600,0.0000
0.224792,0.258431,0.1500,0.8500,0.0000
0.225132,0.256465,0.1600,0.8400,0.0000
0.225472,0.254549,0.1700,0.8300,0.0000
0.225812,0.252683,0.1800,0.8200,0.0000
0.226151,0.250869,0.1900,0.8100,0.0000
0.226491,0.249109,0.2000,0.8000,0.0000
0.226831,0.247402,0.2100,0.7900,0.0000
0.227171,0.245751,0.2200,0.7800,0.0000
0.227510,0.244156,0.2300,0.7700,0.0000
0.227850,0.242619,0.2400,0.7600,0.0000
0.228190,0.241141,0.2500,0.7500,0.0000
0.228530,0.239723,0.2600,0.7400,0.0000
0.228869,0.238365,0.2700,0.7300,0.0000
0.229209,0.237069,0.2800,0.7200,0.0000
0.229549,0.235836,0.2900,0.7100,0.0000
0.229889,0.234667,0.3000,0.7000,0.0000
0.230228,0.233563,0.3100,0.6900,0.0000
0.230568,0.232524,0.3200,0.6800,0.0000
0.230908,0.231553,0.3300,0.6700,0.0000
0.231248,0.230648,0.3400,0.6600,0.0000
0.231587,0.229812,0.3500,0.6500,0.0000
0.231927,0.229046,0.3600,0.6400,0.0000
0.232267,0.228348,0.3700,0.6300,0.0000
0.232607,0.227722,0.3800,0.6200,0.0000
0.232946,0.227166,0.3900,0.6100,0.0000
0.233286,0.226682,0.4000,0.6000,0.0000
0.233626,0.226269,0.4100,0.5900,0.0000
0.233966,0.225929,0.4200,0.5800,0.0000
0.234305,0.225662,0.4300,0.5700,0.0000
0.234645,0.225468,0.4400,0.5600,0.0000
0.234985,0.225346,0.4500,0.5500,0.0000
0.235325,0.225298,0.4600,0.5400,0.0000
0.240602,0.225262,0.4200,0.5700,0.0100
0.240942,0.225013,0.4300,0.5600,0.0100
0.241282,0.224837,0.4400,0.5500,0.0100
0.241622,0.224735,0.4500,0.5400,0.0100
0.241961,0.224706,0.4600,0.5300,0.0100
0.247239,0.224704,0.4200,0.5600,0.0200
0.247579,0.224474,0.4300,0.5500,0.0200
0.247919,0.224317,0.4400,0.5400,0.0200
0.248258,0.224234,0.4500,0.5300,0.0200
0.248598,0.224225,0.4600,0.5200,0.0200
0.254216,0.224045,0.4300,0.5400,0.0300
0.254555,0.223908,0.4400,0.5300,0.0300
0.254895,0.223844,0.4500,0.5200,0.0300
0.260852,0.223728,0.4300,0.5300,0.0400
0.261192,0.223609,0.4400,0.5200,0.0400
0.261532,0.223565,0.4500,0.5100,0.0400
0.267489,0.223522,0.4300,0.5200,0.0500
0.267829,0.223423,0.4400,0.5100,0.0500
0.268169,0.223397,0.4500,0.5000,0.0500
0.274466,0.223348,0.4400,0.5000,0.0600
0.274805,0.223342,0.4500,0.4900,0.0600
